,Gene Name1,Gene Name2,Gene Name3,Gene Name4,Gene Name5,fisher_log2fc,fisher_pval_adj
chr4_134414763_134416794,Pafah2,Extl1,Stmn1,Slc30a2,Paqr7,0.045493055,0.98984019
chr4_134430204_134436819,Pafah2,Stmn1,Extl1,Paqr7,Paqr7,-0.13891916,0.72887422
chr4_134449309_134453612,Stmn1,Pafah2,Paqr7,Paqr7,Aunip,-0.174865156,0.30532022
chr4_134465209_134474334,Stmn1,Paqr7,Paqr7,Aunip,Pafah2,0.192861378,0.34138089
chr4_134476136_134478270,Stmn1,Paqr7,Paqr7,Aunip,Mtfr1l,-0.205202416,0.87918753
chr4_134515643_134517215,Aunip,Paqr7,Mtfr1l,Selenon,Stmn1,-0.155384168,0.88944691
chr4_134613695_134616528,Man1c1,Mir6403,Selenon,Mtfr1l,Mtfr1l,0.037198212,0.9995206
chr4_134624388_134628703,Man1c1,Mir6403,Selenon,Mtfr1l,Mtfr1l,-0.032000102,1
chr4_134630875_134632329,Man1c1,Mir6403,Selenon,Mtfr1l,Mtfr1l,0.055083968,1
chr4_134721112_134722295,Man1c1,Ldlrap1,Tmem57,Rhd,Mir6403,-1.01333034,0.10142931
chr4_134792586_134793643,Tmem57,Ldlrap1,Rhd,Man1c1,Tmem50a,0.038742032,0.98101976
chr4_135258122_135259229,Clic4,Srrm1,Runx3,Ncmap,Rcan3,0.48668921,0.4795604
chr4_135353608_135354214,Srrm1,Ncmap,Rcan3,Mir700,Clic4,0.138397902,0.87232758
chr4_135433313_135435191,Rcan3,Nipal3,Nipal3,Mir700,Ncmap,0.429009765,0.38464728
chr4_135494035_135496079,Nipal3,Grhl3,Rcan3,Mir700,Ncmap,0.012014417,1
chr4_135506911_135509516,Stpg1,Nipal3,Nipal3,Grhl3,Rcan3,0.336250752,0.40941207
chr4_135830969_135835083,Myom3,Srsf10,Pnrc2,Cnr2,Il22ra1,-0.167899609,0.78475682
chr4_135852850_135854478,Srsf10,Pnrc2,Myom3,Cnr2,Cnr2,-0.205269232,0.86269976
chr4_135962390_135966093,Hmgcl,Lypla2,Pithd1,Fuca1,Eloa,0.140354559,0.83763462
chr4_135986197_135988027,Pithd1,Lypla2,Eloa,Gale,Hmgcl,0.119518384,0.85485174
chr4_136280854_136285171,Zfp46,Tcea3,Hnrnpr,Asap3,E2f2,0.389789402,0.56896427
chr4_136373943_136374686,Hnrnpr,Htr1d,Htr1d,Zfp46,Luzp1,0.290105492,0.80733492
chr4_136461427_136463288,Luzp1,Htr1d,Kdm1a,Hnrnpr,Tex46,0.072023645,0.93466433
chr4_136467361_136471819,Luzp1,Htr1d,Kdm1a,Hnrnpr,Tex46,0.414232969,0.62197997
chr4_136748571_136750186,Ephb2,Lactbl1,C1qb,Tex46,C1qc,0.430428177,0.55814855
chr4_136756412_136758539,Ephb2,Lactbl1,C1qb,C1qc,C1qa,0.017202102,1
chr4_136846698_136850064,Ephb2,C1qb,C1qc,C1qa,Epha8,0.067974411,0.95447702
chr4_137042860_137046380,Zbtb40,Epha8,C1qa,C1qc,C1qb,0.179558188,0.76052389
chr4_137133262_137134957,Zbtb40,Wnt4,Epha8,Cdc42,Cdc42,-0.862374187,0.36354542
chr4_137274938_137279153,Wnt4,Cdc42,Cdc42,Cela3a,Cela3b,-0.556795776,0.58407365
chr4_137386849_137389558,Cela3a,Cdc42,Cela3b,Hspg2,Wnt4,0.206072822,0.83779999
chr4_137661425_137661828,Usp48,Rap1gap,Rap1gap,Rap1gapos,Rap1gap,-0.165916234,0.9476898
chr4_137663638_137667313,Rap1gap,Usp48,Rap1gap,Rap1gapos,Rap1gap,-0.012424315,1
chr4_137673954_137678251,Rap1gap,Rap1gap,Usp48,Rap1gapos,Rap1gap,-0.272311032,0.74642369
chr4_137679493_137681639,Rap1gap,Rap1gapos,Usp48,Rap1gap,Rap1gap,0.328196377,0.65275415
chr4_137863359_137866067,Ece1,Alpl,Alpl,Eif4g3,Rap1gap,0.205411598,0.78314406
chr4_137874397_137875941,Ece1,Alpl,Alpl,Eif4g3,Rap1gap,-0.10042955,0.97067185
chr4_138041350_138043171,Eif4g3,Ece1,Mir6399,Hp1bp3,Hp1bp3,0.584095657,0.36816757
chr4_138247350_138250035,Sh2d5,Hp1bp3,Kif17,Eif4g3,Ddost,-0.241776079,0.78222536
chr4_138261093_138262097,Sh2d5,Kif17,Hp1bp3,Ddost,Pink1,-0.854335546,0.18567856
chr4_138394641_138399118,Fam43b,Cda,Mul1,Camk2n1,Pink1,-0.200424403,0.79411418
chr4_138433055_138434466,Mul1,Camk2n1,Fam43b,Cda,Pink1,0.248040617,0.81583981
chr4_138445714_138449707,Mul1,Camk2n1,Fam43b,Cda,Vwa5b1,-0.257165611,0.74831631
chr4_138452570_138463371,Camk2n1,Mul1,Fam43b,Cda,Vwa5b1,-0.273767292,0.21608845
chr4_138469793_138471872,Camk2n1,Mul1,Fam43b,Vwa5b1,Cda,0.232227087,0.64689408
chr4_138480168_138482852,Camk2n1,Mul1,Fam43b,Vwa5b1,Cda,0.022181869,1
chr4_138487620_138489248,Camk2n1,Mul1,Vwa5b1,Fam43b,Cda,-0.143430859,0.91876091
chr4_138495179_138496506,Camk2n1,Mul1,Vwa5b1,Fam43b,Cda,-0.614385962,0.47314017
chr4_138507068_138508732,Camk2n1,Vwa5b1,Mul1,Fam43b,Cda,-0.007210129,1
chr4_138517410_138520686,Vwa5b1,Camk2n1,Mul1,Fam43b,Cda,-0.091728337,0.92438352
chr4_138553080_138564267,Vwa5b1,Camk2n1,Mul1,Ubxn10,Ubxn10,-0.450716853,0.13233673
chr4_138582341_138583200,Vwa5b1,Camk2n1,Ubxn10,Ubxn10,Mul1,-0.256364226,0.82715607
chr4_138676130_138679969,Ubxn10,Ubxn10,Pla2g2c,Vwa5b1,Pla2g2f,-0.352608114,0.31937522
chr4_138688659_138695942,Ubxn10,Ubxn10,Pla2g2c,Pla2g2f,Vwa5b1,-0.156732947,0.72819151
chr4_138786054_138786927,Pla2g2d,Pla2g2d,Pla2g5,Pla2g2f,Pla2g2c,-0.186980784,0.85354114
chr4_138796189_138800380,Pla2g5,Pla2g2d,Pla2g2d,Pla2g2a,Pla2g2a,-0.615685642,0.21608845
chr4_138883215_138884288,Pla2g2e,Otud3,Pla2g5,Pla2g2a,Pla2g5,-0.604339719,0.50166416
chr4_138977331_138980648,Tmco4,Rnf186,Otud3,Htr6,Pla2g2e,-0.116109513,0.9074752
chr4_139082966_139086477,Nbl1,Htr6,Minos1,Tmco4,Capzb,0.268104196,0.82840944
chr4_139289405_139295776,Capzb,Pqlc2,Akr7a5,Mrto4,Emc1,-0.174756825,0.78757536
chr4_139621249_139622615,Aldh4a1,Iffo2,Mir7020,Tas1r2,Pax7,-0.241717309,0.72203597
chr4_140035316_140041017,Igsf21,Klhdc7a,Mir2139,Pax7,Tas1r2,0.107222028,0.94062612
chr4_140075566_140077577,Igsf21,Klhdc7a,Mir2139,Pax7,Tas1r2,0.05731719,0.98619742
chr4_140171576_140172326,Igsf21,Klhdc7a,Mir2139,Pax7,Arhgef10l,-0.70182091,0.33951379
chr4_140222184_140226067,Igsf21,Klhdc7a,Mir2139,Arhgef10l,Pax7,-0.275684029,0.78222536
chr4_140234160_140237376,Igsf21,Klhdc7a,Mir2139,Arhgef10l,Pax7,0.071390018,0.96892428
chr4_140256113_140258916,Igsf21,Arhgef10l,Klhdc7a,Mir2139,Pax7,-0.095687687,0.94644099
chr4_140290246_140292080,Igsf21,Arhgef10l,Klhdc7a,Mir2139,Rcc2,1.399834275,0.04113824
chr4_140348408_140350357,Igsf21,Arhgef10l,Rcc2,Padi6,Klhdc7a,-0.358584791,0.7544858
chr4_140469548_140471285,Arhgef10l,Igsf21,Rcc2,Padi6,Padi4,-0.282366455,0.71621848
chr4_140648864_140649267,Arhgef10l,Arhgef10l,Rcc2,Padi6,Padi4,0.369367182,0.7823656
chr4_140723404_140724704,Rcc2,Padi6,Padi4,Arhgef10l,Arhgef10l,-0.190880835,0.86661517
chr4_140955370_140957628,Padi2,Sdhb,Atp13a2,Mfap2,Mfap2,-0.414372206,0.56153709
chr4_140959805_140963381,Sdhb,Padi2,Atp13a2,Mfap2,Mfap2,-0.123635471,0.86466834
chr4_141010137_141010555,Mfap2,Mfap2,Atp13a2,Crocc,Sdhb,0.340820462,0.76131719
chr4_141059341_141061620,Crocc,Necap2,Crocc,Spata21,Mfap2,0.577032089,0.49277138
chr4_141077206_141078396,Necap2,Spata21,Crocc,Crocc,Szrd1,-0.137952849,0.93837887
chr4_141404128_141407219,Clcnkb,Clcnka,Clcnka,Hspb7,Fam131c,-0.165400401,0.9126734
chr4_141424394_141427707,Hspb7,Clcnkb,Zbtb17,Clcnka,Clcnka,-0.489274949,0.51968138
chr4_141533733_141548034,Spen,Fblim1,Zbtb17,Tmem82,AI507597,0.064127155,0.75890429
chr4_141557259_141559251,Fblim1,Spen,Tmem82,AI507597,Slc25a34,0.140666917,0.83857577
chr4_141661755_141663896,Plekhm2,Ddi2,Slc25a34,Tmem82,AI507597,0.646562099,0.2277837
chr4_141733124_141735117,Ddi2,Agmat,Dnajc16,Rsc1a1,Casp9,-0.011251006,1
chr4_141873645_141878343,Efhd2,Fhad1,Ctrcos,Ctrc,Cela2a,0.089560717,0.92777328
chr4_142266692_142270141,Kazn,Kazn,Tmem51os1,Tmem51,Fhad1,0.090585575,0.95447702
chr4_142298738_142303251,Kazn,Kazn,Tmem51os1,Tmem51,Fhad1,-0.126784861,0.83134892
chr4_142306110_142310057,Kazn,Kazn,Tmem51os1,Tmem51,Fhad1,0.339742661,0.53870248
chr4_142340457_142342067,Kazn,Kazn,Tmem51os1,Tmem51,Fhad1,-0.421243936,0.71702322
chr4_142406079_142410457,Kazn,Kazn,Tmem51os1,Tmem51,Fhad1,-0.059818245,0.98647201
chr4_142436210_142443246,Kazn,Kazn,Tmem51os1,Tmem51,Fhad1,0.081030376,0.93185298
chr4_142466544_142467829,Kazn,Kazn,Tmem51os1,Tmem51,Fhad1,-0.24499999,0.83134892
chr4_142471512_142475656,Kazn,Kazn,Tmem51os1,Tmem51,Fhad1,-0.027569503,1
chr4_142586640_142588570,Kazn,Kazn,Tmem51os1,Tmem51,Prdm2,-0.033611521,1
chr4_142625071_142625474,Kazn,Kazn,Prdm2,Prdm2,Mir7021,0.145739853,0.96113062
chr4_143183002_143183658,Prdm2,Mir7021,Pdpn,Lrrc38,Pramel1,-0.805784345,0.55270382
chr4_143207413_143214429,Prdm2,Pdpn,Mir7021,Lrrc38,Pramel1,0.014501202,1
chr4_143235686_143239096,Prdm2,Pdpn,Mir7021,Lrrc38,Pramel1,-0.148727149,0.94455053
chr4_144970783_144971476,Vps13d,Dhrs3,Tnfrsf1b,Tnfrsf8,Aadacl4,-1.786016583,0.06897641
chr4_148105708_148107783,Draxin,Agtrap,Mad2l2,Mad2l2,Fbxo6,0.367274225,0.68276939
chr4_148173053_148176131,Fbxo2,Fbxo44,Fbxo44,Fbxo44,Fbxo6,-0.197563902,0.8142323
chr4_148283693_148292266,Disp3,Fbxo2,Fbxo44,Fbxo44,Fbxo44,0.095188379,0.8894392
chr4_148297170_148298988,Disp3,Fbxo2,Ubiad1,Fbxo44,Fbxo44,0.48151651,0.62040083
chr4_148415814_148417561,Ubiad1,Mtor,Angptl7,Disp3,Exosc10,0.885811508,0.34283139
chr4_148557474_148558436,Mtor,Srm,Masp2,Tardbp,Angptl7,-0.198990524,0.84921575
chr4_148590140_148591146,Srm,Exosc10,Masp2,Tardbp,Mtor,0.057219669,1
chr4_148953013_148955220,Casz1,Pex14,Casz1,Dffa,Cort,0.032812368,1
chr4_149097826_149098962,Pex14,Dffa,Cort,Apitd1,Pgd,0.868104458,0.36816757
chr4_149124230_149131205,Cort,Dffa,Dffa,Pgd,Pex14,0.217296436,0.74274049
chr4_149308311_149310974,Kif1b,Kif1b,Ube4b,Ube4bos3,Rbp7,-0.017113017,1
chr4_149422934_149428920,Ube4b,Rbp7,Nmnat1,Lzic,Ube4bos3,0.054164264,0.95440251
chr4_149509792_149511595,Ctnnbip1,Lzic,Nmnat1,Mir5616,Ctnnbip1,-0.365058154,0.65887953
chr4_149561154_149564746,Ctnnbip1,Clstn1,Mir5616,Lzic,Nmnat1,-0.438519746,0.62756864
chr4_149568839_149570478,Ctnnbip1,Clstn1,Mir5616,Lzic,Pik3cd,0.032369483,1
chr4_149572647_149573106,Ctnnbip1,Clstn1,Mir5616,Lzic,Pik3cd,-0.15237695,0.95902159
chr4_149587691_149589024,Clstn1,Ctnnbip1,Mir5616,Pik3cd,Mir7023,0.069695435,0.89487527
chr4_149593389_149595074,Clstn1,Ctnnbip1,Pik3cd,Mir5616,Mir7023,0.052145291,0.98460279
chr4_149674656_149676768,Pik3cd,Pik3cd,Mir7023,Clstn1,Tmem201,0.152807668,0.86910715
chr4_149710549_149711055,Tmem201,Pik3cd,Pik3cd,Tmem201,Slc25a33,-0.572332919,0.43073856
chr4_149751403_149753000,Slc25a33,Tmem201,Tmem201,Pik3cd,Pik3cd,0.18483676,0.88154977
chr4_149791604_149792807,Slc25a33,Tmem201,Tmem201,Pik3cd,Pik3cd,0.41230455,0.68276939
chr4_150028807_150030432,H6pd,H6pd,Mir34a,Gpr157,Spsb1,-0.165358052,0.88944691
chr4_150227585_150229470,Eno1,Eno1b,Car6,Rere,Slc2a7,0.227405012,0.86949184
chr4_150233105_150236739,Eno1,Eno1b,Car6,Rere,Slc2a7,0.040977608,0.97374166
chr4_150278960_150283289,Rere,Eno1,Car6,Slc2a7,Slc2a5,0.070708625,0.81762458
chr4_150389146_150390383,Rere,Eno1,Car6,Slc2a7,Slc45a1,-0.012574375,1
chr4_150650929_150652644,Slc45a1,Rere,Errfi1,Park7,Tnfrsf9,0.08864592,0.88154977
chr4_150742343_150743943,Slc45a1,Errfi1,Rere,Park7,Tnfrsf9,0.735380828,0.36354542
chr4_150756521_150758268,Errfi1,Slc45a1,Rere,Park7,Tnfrsf9,0.352502823,0.69361992
chr4_150912376_150916427,Park7,Tnfrsf9,Tnfrsf9,Errfi1,Uts2,0.281545222,0.28572528
chr4_151040400_151047292,Per3,Vamp3,Camta1,Uts2,Tnfrsf9,0.257759571,0.65275415
chr4_151098585_151107474,Camta1,Vamp3,Per3,Uts2,Tnfrsf9,0.322795719,0.3274873
chr4_151141082_151141485,Camta1,Vamp3,Per3,Uts2,Tnfrsf9,0.385560036,0.71616794
chr4_151305172_151307089,Camta1,Vamp3,Per3,Uts2,Tnfrsf9,0.225542992,0.87267945
chr4_151410143_151411914,Camta1,Vamp3,Per3,Camta1,Uts2,0.008655838,1
chr4_151438292_151440582,Camta1,Camta1,Vamp3,Per3,Uts2,-0.265436739,0.79532269
chr4_151639614_151642649,Camta1,Camta1,Dnajc11,Thap3,Phf13,-0.379700303,0.35540491
chr4_151774352_151775221,Camta1,Camta1,Dnajc11,Thap3,Phf13,-0.3193205,0.76566967
chr4_151862396_151863622,Camta1,Dnajc11,Thap3,Phf13,Klhl21,0.062158983,0.95326264
chr4_151996844_151997435,Phf13,Thap3,Klhl21,Dnajc11,Zbtb48,-0.265118092,0.61182341
chr4_152006056_152010271,Klhl21,Zbtb48,Phf13,Thap3,Tas1r1,0.24705945,0.7638258
chr4_152087299_152092413,Plekhg5,Plekhg5,Tnfrsf25,Tnfrsf25,Nol9,-0.365287304,0.40597811
chr4_152323661_152325729,Rpl22,Rnf207,Chd5,Icmt,Hes3,0.152487397,0.88802798
chr4_152349604_152351192,Chd5,Rpl22,Rnf207,Kcnab2,Icmt,0.577552736,0.50881704
chr4_152451790_152458863,Kcnab2,Kcnab2,Nphp4,Chd5,Rpl22,-0.106753007,0.89790607
chr4_152462665_152463068,Kcnab2,Kcnab2,Nphp4,Chd5,Rpl22,-0.068493105,1
chr4_152473877_152476603,Kcnab2,Nphp4,Kcnab2,Chd5,Rpl22,0.52856034,0.56219667
chr4_152566685_152569254,Nphp4,Kcnab2,Kcnab2,Chd5,Rpl22,-0.250220567,0.76566967
chr4_152584128_152586396,Nphp4,Kcnab2,Kcnab2,Chd5,Rpl22,-0.040631481,0.9999275
chr4_152621531_152622894,Nphp4,Kcnab2,Kcnab2,Chd5,Rpl22,0.07779447,0.96281987
chr4_152899465_152900656,Nphp4,Kcnab2,Kcnab2,Ajap1,Chd5,-0.108463891,0.96525507
chr4_153290580_153292831,Ajap1,BC039966,Dffb,Cep104,Lrrc47,-0.683712959,0.47147089
chr4_153357365_153358646,Ajap1,BC039966,Dffb,Cep104,Lrrc47,0.46977222,0.68555916
chr4_153371329_153375228,Ajap1,BC039966,Dffb,Cep104,Lrrc47,-0.631869793,0.24405474
chr4_153437017_153440813,Ajap1,BC039966,Dffb,Cep104,Lrrc47,-0.150802612,0.84467412
chr4_153651286_153652612,Ajap1,BC039966,Dffb,Cep104,Lrrc47,-0.422897846,0.64835773
chr4_153848335_153849463,BC039966,Dffb,Cep104,Lrrc47,Smim1,0.750808477,0.25207745
chr4_154007589_154011409,Cep104,Lrrc47,Smim1,Ccdc27,Dffb,-0.089860991,0.95078871
chr4_154465023_154465465,Prdm16,Arhgef16,Megf6,Actrt2,Tprgl,0.206330135,0.91033939
chr4_154518674_154520068,Prdm16,Actrt2,Arhgef16,Megf6,Ttc34,0.562441468,0.61468412
chr4_154630098_154631101,Prdm16,Actrt2,Ttc34,Mmel1,Fam213b,0.949826062,0.05701328
chr4_154962047_154963934,Hes5,Pank4,Plch2,Tnfrsf14,Fam213b,-0.857952297,0.28886786
chr4_155034643_155035108,Plch2,Pex10,Rer1,Morn1,Pank4,0.079206593,0.97483815
chr4_155307374_155311577,Prkcz,Faap20,Gabrd,Ski,Cfap74,-0.207791761,0.79816255
chr4_155340989_155342723,Prkcz,Gabrd,Cfap74,Faap20,Ski,0.000800529,1
chr4_155344369_155346088,Prkcz,Gabrd,Cfap74,Faap20,Ski,0.201827332,0.81712381
chr4_155490588_155491164,Gnb1,Tmem52,Cfap74,Cfap74,Nadk,0.486066192,0.47147089
chr4_155598445_155603121,Slc35e2,Nadk,Cdk11b,Cdk11b,Gnb1,0.074607477,0.8870447
chr4_155622758_155624548,Slc35e2,Cdk11b,Cdk11b,Mmp23,Mib2,0.034372643,1
chr4_155697321_155706244,Ssu72,Fndc10,Mib2,Tmem240,Atad3a,0.259429514,0.62907648
chr4_155777145_155778484,Vwa1,Tmem88b,Atad3aos,Atad3aos,Atad3a,0.104997784,0.96923314
chr4_155780806_155784914,Tmem88b,Vwa1,Atad3aos,Atad3aos,Mrpl20,0.175748572,0.85485174
chr4_155830254_155831489,Aurkaip1,Ccnl2,Mxra8,Dvl1,Mrpl20,0.183550581,0.88545489
chr4_156012355_156013612,Sdf4,Tnfrsf4,Sdf4,Tnfrsf18,B3galt6,0.231449425,0.86460593
chr4_156199942_156201111,Isg15,AW011738,Agrn,Perm1,Plekhn1,0.796364367,0.36799765
chr5_3258939_3261124,Cdk6,Fam133b,Rbm48,Pex1,Gatad1,-1.618397117,0.06509159
chr5_3337358_3341475,Cdk6,Fam133b,Rbm48,Pex1,Gatad1,-0.64618969,0.51481697
chr5_3646005_3649696,Gatad1,Tmbim7,Pex1,Ankib1,Rbm48,-0.125715852,0.93647325
chr5_3799711_3805887,Ankib1,Ankib1,Lrrd1,Mterf1a,Tmbim7,-0.004653609,1
chr5_3925855_3929886,Akap9,Mterf1a,Lrrd1,Krit1,Ankib1,0.378238887,0.72143589
chr5_4104877_4105935,Cyp51,Akap9,Mterf1b,Mterf1a,Lrrd1,0.257402658,0.87621594
chr5_4219636_4224383,Mterf1b,Cyp51,Akap9,Mterf1a,Lrrd1,-0.055074673,0.99352209
chr5_4484403_4485571,Fzd1,Mterf1b,Cdk14,Cyp51,Akap9,0.112922259,0.94600923
chr5_4820628_4822365,Cdk14,Fzd1,Mterf1b,Cldn12,Gtpbp10,0.905260026,0.08342217
chr5_4958566_4964855,Cdk14,Fzd1,Cldn12,Gtpbp10,Cfap69,-0.66466403,0.30708622
chr5_4978696_4980810,Cdk14,Fzd1,Cldn12,Gtpbp10,Cfap69,-0.748220325,0.22055707
chr5_4991705_4998546,Cdk14,Fzd1,Cldn12,Gtpbp10,Cfap69,-0.042145081,0.97180293
chr5_5004604_5009152,Cdk14,Fzd1,Cldn12,Gtpbp10,Cfap69,-0.205381557,0.79250908
chr5_5108062_5115263,Cdk14,Fzd1,Cldn12,Gtpbp10,Cfap69,-0.074565537,0.90486433
chr5_5239916_5243001,Cdk14,Cldn12,Gtpbp10,Cfap69,Steap2,-0.313309044,0.54655447
chr5_5261972_5267686,Cdk14,Cldn12,Gtpbp10,Cfap69,Steap2,0.021629823,1
chr5_5290878_5293178,Cdk14,Cdk14,Cldn12,Gtpbp10,Cfap69,0.344595522,0.66637215
chr5_5301625_5303306,Cdk14,Cdk14,Cldn12,Gtpbp10,Cfap69,-0.591875434,0.47982572
chr5_5361786_5363966,Cdk14,Cdk14,Cldn12,Gtpbp10,Cfap69,0.435300708,0.65658562
chr5_5755084_5755829,Steap1,Steap2,Steap2,Steap2,Cfap69,0.042880211,1
chr5_7032599_7036403,Zfp804b,Tex47,Steap4,,,-0.332227588,0.77629604
chr5_7286590_7293441,Zfp804b,Tex47,Steap4,Sri,Sri,0.306467831,0.75076282
chr5_8143251_8147311,Adam22,Sri,Steap4,Dbf4,Slc25a40,-0.116796643,0.90355604
chr5_8163642_8166836,Adam22,Sri,Steap4,Dbf4,Slc25a40,0.517470539,0.64272418
chr5_8226164_8230293,Adam22,Sri,Dbf4,Slc25a40,Steap4,-0.60292834,0.18913275
chr5_8309784_8315755,Adam22,Dbf4,Slc25a40,Rundc3b,Sri,-0.062377978,0.93837887
chr5_8421712_8424560,Dbf4,Adam22,Rundc3b,Abcb1a,Sri,-0.53698808,0.33595116
chr5_8819520_8820421,Abcb1b,Abcb1a,Abcb4,Crot,Rundc3b,-0.126667038,0.94852928
chr5_9157337_9161092,Dmtf1,Tmem243,Crot,Abcb4,Mir879,0.226200789,0.6737658
chr5_9264724_9265976,Dmtf1,Mir879,Tmem243,Grm3,Crot,0.042219121,1
chr5_9481377_9483587,Grm3,Mir879,Dmtf1,Tmem243,Crot,-0.111580588,0.93837887
chr5_9494371_9496077,Grm3,Mir879,Dmtf1,Tmem243,Crot,-0.825556278,0.29792837
chr5_9525702_9529396,Grm3,Mir879,Dmtf1,Tmem243,Crot,0.21277985,0.78983158
chr5_9538988_9542294,Grm3,Mir879,Dmtf1,Tmem243,Crot,-0.051889561,0.97543369
chr5_9553927_9558469,Grm3,Mir879,Dmtf1,Tmem243,Crot,0.123829186,0.87381797
chr5_9578719_9579956,Grm3,Mir879,Dmtf1,Tmem243,Crot,0.191635787,0.8205642
chr5_9621180_9625184,Grm3,Mir879,Dmtf1,Tmem243,Crot,0.153085008,0.87381797
chr5_9645806_9650135,Grm3,Mir879,Dmtf1,Tmem243,Crot,-0.050852604,0.99663589
chr5_9682027_9685753,Grm3,Mir879,Dmtf1,Tmem243,Crot,-0.124652416,0.82656675
chr5_9688263_9699393,Grm3,Mir879,Dmtf1,Tmem243,Crot,-0.037395541,0.97904552
chr5_9701362_9708004,Grm3,Mir879,Dmtf1,Tmem243,Crot,-0.393970221,0.37083771
chr5_9710513_9727490,Grm3,Mir879,Dmtf1,Tmem243,Crot,-0.050206322,0.85351673
chr5_10681909_10687587,Speer1,Speer1,Grm3,,,0.103897184,0.93799563
chr5_10690151_10691494,Speer1,Speer1,Grm3,,,-0.677449882,0.62830837
chr5_12377069_12379675,Sema3d,,,,,-0.474698812,0.74831631
chr5_12402841_12407252,Sema3d,Sema3a,Sema3a,Sema3a,,0.715621352,0.38469419
chr5_12505572_12509287,Sema3d,Sema3a,Sema3a,Sema3a,,-0.278987199,0.79532269
chr5_13396663_13406346,Sema3a,Speer3,Sema3e,Sema3d,,0.077276669,0.64669195
chr5_13408132_13412736,Sema3a,Speer3,Sema3e,Sema3d,,0.151858121,0.87881291
chr5_13427058_13433607,Sema3a,Speer3,Sema3e,Sema3d,,0.122326583,0.84456501
chr5_13626637_13631149,Sema3a,Speer3,Sema3e,Pclo,,-0.063914664,0.97198898
chr5_14024674_14033814,Sema3e,Speer3,Sema3a,Pclo,Speer4e,-0.098840229,0.88564452
chr5_14036753_14041027,Sema3e,Speer3,Sema3a,Pclo,Speer4e,0.125077292,0.93298712
chr5_14089753_14094364,Sema3e,Speer3,Pclo,Sema3a,Speer4e,-0.14476946,0.8871192
chr5_14098168_14103040,Sema3e,Speer3,Pclo,Sema3a,Speer4e,0.425331175,0.3613693
chr5_14318049_14322665,Sema3e,Pclo,Speer3,Speer4e,Speer8-ps1,-0.243605241,0.76764882
chr5_14567105_14568386,Pclo,Sema3e,Speer4e,Speer8-ps1,Speer3,-0.068493105,1
chr5_14579215_14585575,Pclo,Sema3e,Speer4e,Speer8-ps1,Speer3,0.234335929,0.75779831
chr5_15848435_15851089,Cacna2d1,Speer4cos,Speer4c,Speer4d,LOC105242399,-0.198385268,0.80112009
chr5_15904800_15906733,Cacna2d1,Speer4cos,Speer4c,Speer4d,LOC105242399,0.50615561,0.28477979
chr5_15929260_15941615,Cacna2d1,Speer4cos,Speer4c,Speer4d,LOC105242399,-0.155713454,0.10677779
chr5_16085769_16090373,Cacna2d1,Speer4cos,Speer4c,Speer4d,Hgf,0.714702606,0.2270999
chr5_16111399_16116199,Cacna2d1,Speer4cos,Speer4c,Hgf,Hgf,-0.130680367,0.84233888
chr5_16132847_16134248,Cacna2d1,Speer4cos,Speer4c,Hgf,Hgf,0.490839869,0.60648717
chr5_16223561_16228018,Cacna2d1,Hgf,Hgf,Speer4cos,Speer4c,-0.019103346,1
chr5_16551808_16553961,Hgf,Cacna2d1,Speer4cos,Speer4c,Speer4f1,0.148130834,0.93647325
chr5_16869124_16869920,Hgf,Hgf,Cacna2d1,Speer4f1,Sema3c,-0.213796988,0.95030471
chr5_17594220_17600118,Sema3c,Speer4f1,Cd36,Gnat3,Gnai1,-0.857299924,0.26638844
chr5_17637661_17644150,Sema3c,Cd36,Speer4f1,Gnat3,Gnai1,-0.094708033,0.90475944
chr5_17816250_17817066,Cd36,Sema3c,Gnat3,Speer4f1,Gnai1,-0.190800741,0.91919281
chr5_18084256_18088195,Gnat3,Gnai1,Cd36,Cd36,Cd36,-0.171329662,0.87322995
chr5_18316180_18333152,Gnai1,Gnat3,Cd36,Cd36,Cd36,-0.064412817,0.95078871
chr5_18358469_18359141,Gnai1,Gnat3,Cd36,Cd36,Cd36,0.316416621,0.82715607
chr5_18435521_18437625,Gnai1,Gnat3,Cd36,Cd36,Cd36,-0.080923371,0.97965646
chr5_18471907_18472935,Gnai1,Gnat3,Cd36,Cd36,Cd36,-0.299081564,0.84467412
chr5_18482079_18484708,Gnai1,Gnat3,Cd36,Cd36,Cd36,-0.68061924,0.34596538
chr5_19321163_19325215,Magi2,Magi2,Gnai1,,,-0.15899615,0.8969939
chr5_19520363_19524774,Magi2,Magi2,,,,-0.300613523,0.4795604
chr5_19545471_19547082,Magi2,Magi2,,,,-0.614385962,0.47314017
chr5_19551896_19556381,Magi2,Magi2,,,,-0.130765289,0.9041324
chr5_19744083_19748302,Magi2,Magi2,,,,0.004800982,1
chr5_19905278_19917004,Magi2,Phtf2,Tmem60,Rsbn1l,,0.033225704,0.96113062
chr5_19967309_19972032,Magi2,Phtf2,Tmem60,Rsbn1l,,0.293189853,0.57120851
chr5_19999493_20004379,Magi2,Phtf2,Tmem60,Rsbn1l,Ptpn12,0.062912755,0.95358074
chr5_20071149_20078338,Magi2,Phtf2,Tmem60,Rsbn1l,Ptpn12,0.254382789,0.60697819
chr5_20108111_20110460,Magi2,Phtf2,Tmem60,Rsbn1l,Ptpn12,-0.295194507,0.65776975
